https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/midi-dress-with-straps_77010369?c=87,77010369,Fluid fabric. Midi design. Square neckline. Sleeveless. Thin Straps. No closure. Back Slit at the Hem. Available in Plus. Fitted design.,"0, 2, 4, 6, 8, 10, 12","Not Available, Available, Available, Available, Last Few Items, Not Available, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/straight-fit-jumpsuit-with-belt_87075744,87075744,Straight design. Long design. Shirt Collar. Sleeveless. Nightgown-style belt. Two side pockets. Front closure with hidden buttons and placket. Available in Plus.,"XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Last Few Items, Last Few Items, Available, Available, Not Available, Not Available, Not Available, Not Available, Not Available, Last Few Items, Last Few Items",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/long-floral-dress_17021162,17021162,Long design. Straight design. Ribbon detail on the back. V-neck. Sleeveless. Wide straps. Side zipper closure.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Last Few Items, Available, Available, Available, Available, Last Few Items, Not Available, Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/flared-dress-in-combined-fabric_87057187?c=37,87057187,Cotton fabric. Combined design. Midi design. A-line design. Low neckline. Sleeveless. Wide straps. Gathered panel at the waist. No closure.,"0, 2, 4, 6, 8, 10, 12","Available, Available, Available, Available, Available, Available, Last Few Items",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/flowy-denim-jumpsuit-with-belt_87098642,87098642,Cotton fabric. Soft denim. Long design. Straight design. Round neck. Sleeveless. Wide straps. Belt loops. Belt buckle fastening. Two side pockets. Back zipper closure. Available in Plus.,"XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Available, Available, Available, Available, Available, Available, Available, Last Few Items, Last Few Items, Last Few Items, Last Few Items",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/floral-puff-sleeve-dress_87080642,87080642,Chiffon fabric. Semi-transparent design. A-line design. Midi design. Floral print. V-neck. Long puffed sleeves. Side zipper closure. Inner lining. Available in Plus.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Available, Available, Available, Available, Available, Last Few Items, Not Available, Not Available, Last Few Items, Last Few Items, Last Few Items",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/jumpsuit-with-pockets-and-shirt-collar_77054042,77054042,Fluid fabric. Long design. Straight design. Shirt Collar. Sleeveless. Elastic waistband. Two patch pockets at the front. Available in Plus. Concealed front button fastening. The model is 1.76 tall and is wearing a size 36.,"XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Not Available, Not Available, Available, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/zebra-back-bow-satin-dress_87084092,87084092,Fluid fabric with satin finish. Short design. A-line design. Animal print. Zebra print. Draped neckline. Long sleeves. Back zipper closure. Inner lining. Available in Plus.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Last Few Items, Available, Available, Available, Available, Available, Last Few Items, Last Few Items, Last Few Items, Last Few Items, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/long-floral-print-dress_77012928,77012928,Fluid fabric. Oversize design. Long design. Floral print. Round neck. Sleeveless. Thin Straps. No closure. Available in Plus. Printed Design.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Not Available, Not Available, Available, Available, Available, Available, Last Few Items, Last Few Items, Not Available, Not Available, Last Few Items",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/polka-dot-dress-with-belt_87086354,87086354,"Party and ceremony collection. Available in Plus. Straight design. Midi design. Polka-dot print. Shirt Collar. Short sleeve. Belt loops. Belt buckle fastening. Pleats detail. Front button closure. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Last Few Items, Available, Available, Available, Last Few Items, Not Available, Last Few Items, Last Few Items, Last Few Items, Not Available, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/boat-neck-knitted-dress_87057180?c=05,87057180,Fine knit fabric. Midi design. Straight design. Boat neck. Sleeveless. No closure. Front opening on the hem. Available in Plus.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-button-down-linen-blend-dress_87039065,87039065,Linen blend fabric. Short design. Fitted design. Boat neck. Two side welt pockets. Front button closure. Inner lining. Available in Plus.,"0, 2, 4, 6, 8, 10, 12","Not Available, Available, Available, Available, Available, Available, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/midi-dress-with-draped-detail_87095741,87095741,Available in Plus. Light Flat Structure. Slim silhouette. Round Lapel Collar. Long length. Short sleeve.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Not Available, Available, Available, Available, Available, Available, Last Few Items, Not Available, Last Few Items, Not Available, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/draped-neck-lyocell-dress_87017198?c=30,87017198,"Lyocell-blend fabric. Textured fabric. Fitted design. Long design. Draped neckline. Wide straps. No closure. Inner lining. The red color is an online exclusive. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Not Available, Available, Available, Available, Available, Last Few Items, Not Available, Last Few Items, Last Few Items, Last Few Items, Last Few Items",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/knitted-midi-dress-with-lapels_87097185,87097185,Fine knit fabric. Midi design. Fitted design. Lapel-collar V-neck collar. Sleeveless. Wide straps. No closure. Available in Plus.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Not Available, Last Few Items, Not Available, Available, Available, Last Few Items, Not Available, Available, Available, Last Few Items, Last Few Items",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/long-printed-dress_77075657,77075657,Fluid fabric. Long design. Straight design. V-neck. Long sleeves. Decorative bow. Inner lining. Available in Plus. Front button closure. Printed Design.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Available, Available, Available, Available, Available, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/long-floral-dress-with-short-sleeves_87019068,87019068,Long design. Straight design. Floral print. V-neck. Decorative bow. Short sleeve. Back zipper closure. Inner lining. Available in Plus.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Available, Available, Available, Available, Available, Available, Available, Available, Available, Available, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/floral-dress-with-draped-neck_87007200,87007200,Midi design. Straight design. Draped neckline. Sleeveless. Floral print. Tie closure at the back. Available in Plus.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Available, Available, Available, Available, Available, Available, Available, Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/printed-shirt-dress_77037721,77037721,Lightweight fabric. Straight design. Long design. Printed Design. Shirt Collar. Long buttoned sleeves. Two flap pockets on the front. Button Closure at the Front. Bow on the waist. Available Plus.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Last Few Items, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/draped-shirt-dress_77014035,77014035,Fluid fabric. Satin fabric. Shirt-style. Midi design. Shaved design. Striped print. Shirt Collar. Sleeveless. Button Closure at the Front. Available in Plus. Fitted design.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Last Few Items, Available, Available, Available, Available, Available, Not Available, Available, Available, Last Few Items, Last Few Items",
