Product URL,Image URL
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/fitted-textured-knitted-dress_87079064,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87079064_05.jpg?imwidth=493&imdensity=1&ts=1744808720959
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/floral-crochet-dress_77070384,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77070384_05.jpg?imwidth=493&imdensity=1&ts=1716474856821
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/floral-print-dress-with-knot_87070581,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87070581_05.jpg?imwidth=493&imdensity=1&ts=1732795502411
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/halter-dress-with-feather-decoration_87010271,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87010271_99.jpg?imwidth=493&imdensity=1&ts=1730727247331
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/halter-dress-with-feather-decoration_87025971,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87025971_05.jpg?imwidth=493&imdensity=1&ts=1740477906872
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/knitted-dress-openwork-details_87097190,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87097190_05.jpg?imwidth=493&imdensity=1&ts=1741170890483
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/knitted-dress-with-bow-neckline_17061217,https://shop.mango.com/assets/rcs/pics/static/T1/fotos/S/17061217_99.jpg?imwidth=493&imdensity=1&ts=1745499919848
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/knitted-dress-with-bow-neckline_17061217?c=70,https://shop.mango.com/assets/rcs/pics/static/T1/fotos/S/17061217_70.jpg?imwidth=493&imdensity=1&ts=1746012929579
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/knitted-dress-with-combined-stripes_87087190,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87087190_69.jpg?imwidth=493&imdensity=1&ts=1740589544856
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/knot-detail-shirt-dress_87012534,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87012534_70.jpg?imwidth=493&imdensity=1&ts=1731942303235
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/lace-detail-shirt-dress_87090582,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87090582_52.jpg?imwidth=493&imdensity=1&ts=1730977479743
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/leopard-print-flared-dress_77054073,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77054073_30.jpg?imwidth=493&imdensity=1&ts=1720794876005
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/linen-dress-with-contrasting-details_77010365,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77010365_07.jpg?imwidth=493&imdensity=1&ts=1717090672143
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/linen-dress-with-draped-collar_87010591,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87010591_70.jpg?imwidth=493&imdensity=1&ts=1731922543116
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/mini-crochet-dress-with-bow_87059205,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87059205_01.jpg?imwidth=493&imdensity=1&ts=1745422524804
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/open-back-crochet-dress_17051222,https://shop.mango.com/assets/rcs/pics/static/T1/fotos/S/17051222_32.jpg?imwidth=493&imdensity=1&ts=1746702324596
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/open-back-crochet-dress_87067171,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87067171_32.jpg?imwidth=493&imdensity=1&ts=1741862091096
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/open-back-knitted-dress_77039038,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77039038_99.jpg?imwidth=493&imdensity=1&ts=1728637557165
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/perkins-neck-knitted-dress_87097184,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87097184_99.jpg?imwidth=493&imdensity=1&ts=1740652536521
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/perkins-neck-knitted-dress_87097184?c=32,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87097184_32.jpg?imwidth=493&imdensity=1&ts=1742560508205
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/printed-bow-dress_77060344,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77060344_14.jpg?imwidth=493&imdensity=1&ts=1715699028438
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/printed-dress-with-openings_67028648,https://shop.mango.com/assets/rcs/pics/static/T6/fotos/S/67028648_52.jpg?imwidth=493&imdensity=1&ts=1712133650551
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/printed-dress-with-turn-down-neckline_77040628,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77040628_43.jpg?imwidth=493&imdensity=1&ts=1716288250646
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/ruffle-knit-dress_17021263,https://shop.mango.com/assets/rcs/pics/static/T1/fotos/S/17021263_99.jpg?imwidth=493&imdensity=1&ts=1746716743666
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/semi-transparent-feather-dress_87020274,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87020274_57.jpg?imwidth=493&imdensity=1&ts=1730727247331
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/sequin-embellishment-ruffle-dress_87000361,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87000361_99.jpg?imwidth=493&imdensity=1&ts=1730727247331
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/sequined-halter-neck-dress_77039064,https://shop.mango.com/assets/rcs/pics/static/T7/fotos/S/77039064_78.jpg?imwidth=493&imdensity=1&ts=1727960679465
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-asymmetrical-sleeve-dress_87094090,https://shop.mango.com/assets/rcs/pics/static/T8/fotos/S/87094090_99.jpg?imwidth=493&imdensity=1&ts=1736516089052
