URL,Reference,Description,Sizes,Inventory,Image,Color
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/crochet-knitted-dress_87012533,87012533,100% cotton fabric. Crochet design. Short design. Slim silhouette. Round neck. Short sleeve. Button closure at the back. Inner lining.,"2, 4, 6, 8","Available, Available, Available, Available",,Khaki
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/crochet-short-dress_87088642,87088642,Cotton fabric. Crochet design. Short design. Straight design. Round neck. Sleeveless. Wide straps. Button closure at the back. Inner lining.,"4, 6, 8","Available, Available, Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/denim-dress-with-puffed-hem_17031268,17031268,Denim-style cotton fabric. Short design. Straight design. Round neck. Sleeveless. Button closure at the back. Bubble hem.,"4, 6, 8","Available, Available, Available",,White
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/denim-jumpsuit-short_17041199,17041199,Denim-style cotton fabric. Short design. Low neckline. Sleeveless. Thin Straps. Wrap detail. Side zipper closure.,"XS, S, M, L, XL","Available, Available, Available, Available, Available",,Open Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/denim-wrap-dress_87070588,87070588,100% Cotton. Denim-style cotton fabric. Lightweight fabric. Short design. Straight design. Wrap design. Round neck. Sleeveless. Back zipper closure. Tie closure. Unlined.,"2, 4, 6, 8, 10","Last Few Items, Not Available, Last Few Items, Not Available, Not Available",,Dark Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/draped-body-balloon-skirt-dress_87095757,87095757,Mini design. Shaved design. A-line design. Combined design. Bubble hem. Strapless. Invisible lateral zipper fastening. Party collection.,"4, 6, 8","Available, Available, Available",,Ecru
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/draped-satin-dress-with-bow-detail_87085991,87085991,"Dazzle in this satin fabric dress that radiates a subtle and sophisticated shine. Its asymmetrical design adds a modern and bold touch, while the detachable neck tie offers versatility to customize your style. This garment is the perfect choice for those looking to stand out with elegance and originality at any special event. Satin fabric. Short design. Fitted design. Asymmetric neckline. Maxi bow detail on the strap. Draped waist. Side zipper closure. Inner lining. Party and ceremony collection. Items from the CAPSULE collection can be exchanged or returned within 14 days from the date of shipment. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","2, 4, 6, 8","Available, Available, Available, Last Few Items",,Sky Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/draped-textured-dress_87068270,87068270,Modal fabric. Textured fabric. Short design. Fitted design. Draped neckline. Short sleeve. Draped waist. Back zipper closure. Available in Plus.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Last Few Items, Available, Available, Available, Available, Last Few Items, Not Available, Last Few Items, Last Few Items, Last Few Items, Last Few Items",,Brown
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/draped-textured-dress_87068270?c=43,87068270,Modal fabric. Textured fabric. Short design. Fitted design. Draped neckline. Short sleeve. Draped waist. Back zipper closure. Available in Plus.,"0, 2, 4, 6, 8, 10, 12","Not Available, Available, Available, Available, Available, Available, Not Available",,Green
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/fitted-textured-knitted-dress_87079064,87079064,Knitted fabric. Textured fabric. Short design. Fitted design. Round neck. Sleeveless. Wide straps. No closure.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Available",,Ecru
