URL,Reference,Description,Sizes,Inventory,Image,Color
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/jumpsuit-with-pockets-and-shirt-collar_77054042,77054042,Fluid fabric. Long design. Straight design. Shirt Collar. Sleeveless. Elastic waistband. Two patch pockets at the front. Available in Plus. Concealed front button fastening. The model is 1.76 tall and is wearing a size 36.,"XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Not Available, Not Available, Available, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/linen-halter-jumpsuit_17081137,17081137,100% linen fabric. Long design. Straight design. Halter neck. Sleeveless. Wide straps. Elastic ruched panel at back. Knot closure on the neck. Back zipper closure. 100% cotton lining. The aqua green model is an online exclusive.,"XXS, XS, S, M, L, XL, XXL","Available, Available, Available, Available, Available, Available, Available",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/linen-halter-jumpsuit_17081137?c=40,17081137,100% linen fabric. Long design. Straight design. Halter neck. Sleeveless. Wide straps. Elastic ruched panel at back. Knot closure on the neck. Back zipper closure. 100% cotton lining. The aqua green model is an online exclusive.,"XS, S, M, L, XL","Available, Available, Available, Available, Available",,Pastel Green
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/linen-jumpsuit-with-polka-dots-and-belt_87077161,87077161,Linen blend fabric. Long design. Straight design. Polka-dot print. Round neck. Sleeveless. Belt buckle fastening. Back zipper closure. Available in Plus.,"XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Not Available, Not Available, Not Available, Available, Available, Available, Not Available, Available, Last Few Items, Last Few Items, Last Few Items",,Chocolate
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/linen-shirt-jumpsuit-with-belt_87087163,87087163,100% linen fabric. Long design. Shirt-style V-neck collar. Sleeveless. Removable leather braided belt. Front closure.,"XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Last Few Items, Available, Available, Available, Available, Available, Available, Last Few Items, Last Few Items, Available, Available",,Red
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/linen-shirt-jumpsuit-with-belt_87087163?c=43,87087163,100% linen fabric. Long design. Shirt-style V-neck collar. Sleeveless. Removable leather braided belt. Front closure.,"XXS, XS, S, M, L, XL, XXL","Last Few Items, Available, Available, Available, Last Few Items, Last Few Items, Not Available",,Green
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/linen-shirt-jumpsuit_87096349,87096349,100% linen fabric. Long design. Straight design. Shirt Collar. Short sleeve. Nightgown-style belt. Belt loops. Two side pockets. Front button closure. Inner lining.,"XS, S, M, L, XL","Not Available, Not Available, Last Few Items, Last Few Items, Not Available",,Forest Green
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-asymmetrical-draped-jumpsuit_87086351,87086351,"Long design. Straight design. Asymmetric neckline. Gathered detail on sleeves. Draped waist. Side zipper closure. Inner lining. Party and ceremony collection. Available in Plus. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Not Available, Not Available, Available, Available, Not Available, Not Available, Not Available, Not Available, Not Available, Last Few Items, Last Few Items",,Red
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-cropped-jumpsuit-with-belt_87047184,87047184,Straight design. Boot cropped design. V-neck. Short sleeve. Belt loops. Removable belt. Two side pockets. Front pleat detail. Back zipper closure. Available in Plus.,"XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Last Few Items, Available, Available, Available, Available, Available, Last Few Items, Last Few Items, Last Few Items, Last Few Items, Last Few Items",,Ink Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-cropped-jumpsuit-with-belt_87047184?c=52,87047184,Straight design. Boot cropped design. V-neck. Short sleeve. Belt loops. Removable belt. Two side pockets. Front pleat detail. Back zipper closure. Available in Plus.,"XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Last Few Items, Available, Available, Available, Available, Available, Available, Available, Available, Last Few Items, Last Few Items",,Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-culotte-jumpsuit-with-draped-neck_87037195,87037195,Cotton blend fabric. Long design. Culotte design. Straight design. Draped neckline. Sleeveless. Wide straps. Back zipper closure. Available in Plus.,"XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Last Few Items, Available, Available, Available, Available, Available, Last Few Items, Last Few Items, Not Available, Last Few Items, Last Few Items",,Black
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-denim-effect-jumpsuit_87088641,87088641,Lyocell fabric. Denim-effect. Long design. Straight design. Straight neckline. Sleeveless. Thin Straps. Side zipper closure.,"XS, S, M, L, XL","Available, Available, Available, Available, Available",,Dark Blue
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-denim-jumpsuit_87078645,87078645,Cotton fabric. Long design. Straight design. Shirt Collar. Sleeveless. Wide straps. Four pockets on the front. Two pockets on the back. Ribbon on the waist with tie closure. Front button closure.,"XS, S, M, L, XL","Not Available, Not Available, Not Available, Not Available, Not Available",,Ecru
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-jumpsuit-with-asymmetrical-neck_87069066,87069066,"Long design. Straight design. Asymmetric neckline. Wide strap. Back zipper closure. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","XXS, XS, S, M, L, XL, XXL","Available, Available, Available, Available, Available, Available, Available",,Purple
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-jumpsuit-with-asymmetrical-neck_87078646,87078646,"Long design. Straight design. Asymmetric neckline. Sleeveless. Wide strap. Back zipper closure. Inner lining. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","XXS, XS, S, M, L, XL, XXL","Last Few Items, Available, Available, Available, Available, Available, Last Few Items",,Off White
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-jumpsuit-with-belt-and-buckle_87055754,87055754,Long design. Straight design. V-neck. Short sleeve. Belt loops. Belt buckle fastening. Back zipper closure. Available in Plus.,"XXS, XS, S, M, L, XL, XXL, 1XL, 2XL, 3XL, 4XL","Not Available, Last Few Items, Available, Available, Not Available, Not Available, Not Available, Not Available, Not Available, Not Available, Last Few Items",,Ecru
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/jumpsuits/long-jumpsuit-with-draped-neck-and-belt_87079220,87079220,Long design. Straight design. Draped neckline. Sleeveless. Wide straps. Belt loops. Belt buckle fastening. Removable belt. Back zipper closure.,"XXS, XS, S, M, L, XL, XXL","Last Few Items, Available, Available, Available, Available, Available, Last Few Items",,Off White
