URL,Reference,Description,Sizes,Inventory,Images
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/ruffle-knit-dress_17021263,17021263,Fine knit fabric. Short design. A-line design. Low neckline. Sleeveless. Thin Straps. Maxi flounce. No closure.,"0, 2, 4, 6, 8, 10","Not Available, Available, Available, Available, Available, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/ruffled-floral-print-dress_87004079,87004079,Short design. A-line design. Floral print. Round neck. Long flared sleeve. Adjustable waist tie. Ruffle hem. Button closure at the back. Inner lining.,"0, 2, 4, 6, 8, 10, 12","Available, Available, Available, Available, Available, Available, Last Few Items",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/ruffled-printed-dress_87080576,87080576,Fluid fabric. A-line design. Ruffle design. Short design. Abstract-print. Stand-up collar. V-neck. Puffed three quarter sleeves. Buttoned cuffs. Button Closure at the Front. Adjustable belt. Adjustable waist tie.,"2, 4, 6, 8, 10","Available, Available, Not Available, Not Available, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/semi-transparent-feather-dress_87020274,87020274,"We have combined two of the trends of the moment: transparencies and feathers. It has a lingerie-style inner piece that together with the chiffon layer with halter-neck detail becomes an elegant and original option for your most special events. Straight design. Short design. Turtleneck. Puffed sleeves. Bow fastening on the cuffs. Keyhole detail on the back with button fastening. Made in Portugal. Party and ceremony collection. Items from the CAPSULE collection can be exchanged or returned within 14 days from the date of shipment. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","2, 4, 6, 8, 10","Not Available, Not Available, Last Few Items, Not Available, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/sequin-embellishment-ruffle-dress_87000361,87000361,"Medium size. This strapless design with ruffle embellishments will accompany you on your most special nights so that you stand out with sophistication. Its short design and sequin fabric make it the perfect look for you to dazzle. Fabric with sequin. Stretch fabric. Tailored design. Short design. Maxi flounce. No closure. Made in Portugal. Party and ceremony collection. Items from the CAPSULE collection can be exchanged or returned within 14 days from the date of shipment. Back closure. Slim fit. Sleeveless. Lining only. Strapless. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","2, 4, 6, 8","Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/sequined-halter-neck-dress_77039064,77039064,Fabric with sequin. Fitted design. Short design. Halter neck. Sleeveless. Keyhole detail on the back with button fastening. Inner lining. Party and ceremony collection. The model is 1.77 tall and is wearing a size 36. The model is 1.78 tall and is wearing a size 36.,"0, 2, 4, 6, 8, 10, 12","Not Available, Available, Available, Available, Not Available, Not Available, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-balloon-effect-dress_87029068,87029068,Cotton fabric. Short design. Fitted design. Bubble hem. Strapless. Sleeveless. Puffed hem. Back zipper closure.,"2, 4, 6, 8","Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-balloon-effect-dress_87047181,87047181,Short design. Fitted design. Bubble hem. Round neck. Sleeveless. Wide straps. Bubble hem. Side zipper closure. Exclusive Online.,"4, 6, 8","Available, Available, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-balloon-effect-gathered-dress_87035768,87035768,Party and ceremony collection. Short design. Bubble hem. Low neckline. Thin Straps. Runched detail in the neckline. Gathered detail at the waist. No closure. Inner lining.,"2, 4, 6, 8","Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-belted-dress_87038652,87038652,Straight design. Short design. Fitted design. Boat neck. Short sleeve. Decorative belt. No closure.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-button-down-linen-blend-dress_87039065,87039065,Linen blend fabric. Short design. Fitted design. Boat neck. Two side welt pockets. Front button closure. Inner lining. Available in Plus.,"0, 2, 4, 6, 8, 10, 12","Not Available, Available, Available, Available, Available, Available, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-button-down-linen-blend-dress_87039065?c=74,87039065,Linen blend fabric. Short design. Fitted design. Boat neck. Two side welt pockets. Front button closure. Inner lining. Available in Plus.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Last Few Items, Available, Available, Available, Available, Available, Not Available, Not Available, Last Few Items, Last Few Items, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-chiffon-combined-dress_87014425,87014425,"Cotton blend fabric. Short design. Fitted design. Strapless. Sleeveless. Side closure. Inner lining. Selection Collection. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","2, 4, 6, 8","Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-combined-dress_87099208,87099208,Combined design. Short design. Fitted design. Boat neck. Sleeveless. Ruffle hem. No closure.,"0, 2, 4, 6, 8, 10, 12","Available, Available, Available, Available, Available, Available, Last Few Items",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-combined-fabric-draped-dress_87085767,87085767,Cotton fabric. Short design. Combined design. Fitted design. Asymmetric neckline. Long sleeves. Draped waist. Ruffle hem.,"4, 6, 8","Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-cut-out-dress-with-bows_87049067,87049067,Cotton fabric. Short design. Straight design. Low neckline. Sleeveless. Thin strap. Thin Straps. Side slits. Bow details on the sides. Back zipper closure.,"4, 6, 8","Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-dress-with-combined-design_87099209,87099209,100% cotton fabric. Fitted design. Short design. Upper body with striped print. Gathered detail. No closure.,"0, 2, 4, 6, 8, 10, 12","Available, Available, Available, Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-dress-with-gathered-panels_87018656,87018656,Peak Lapel. Thin Strap. Short design. Straight design. V-neck. Sleeveless. Thin Straps. Gathered details. No closure.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-dress-with-wide-straps_87028653,87028653,Short design. Fitted design. Low neckline. Sleeveless. Wide straps. Dart detail. No closure.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-flared-dress_87009096,87009096,Short design. A-line design. Boat neck. Back neckline. Sleeveless. Wide straps. Back zipper closure. Inner lining.,"0, 2, 4, 6, 8, 10, 12","Available, Available, Available, Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-flared-knitted-dress_87095762,87095762,"Short design. Peplum design. Perkins collar. Sleeveless. Button closure at the back. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","2, 4, 6, 8, 10","Available, Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-floral-print-dress-with-ruffle-detail_87055766,87055766,"Chiffon fabric. Short design. Straight design. Floral print. Low neckline. Double thin straps. Frill detail. Side zipper closure. Inner lining. This garment is part of our event collection, designed to make you the perfect guest at any party, wedding, or ceremony.","2, 4, 6, 8","Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-floral-textured-dress_87069064,87069064,100% cotton fabric. Short design. A-line design. Fabric with floral texture. Low neckline. Sleeveless. Thin adjustable straps. Side zipper closure. Inner lining. Exclusive Online.,"4, 6, 8","Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-knitted-dress-with-pleats_87074071,87074071,Fine knit fabric. Short design. A-line design. Patterned design. Round neck. Long sleeves. No closure.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Last Few Items",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-knitted-dress_17021262,17021262,Fine knit fabric. Short design. Straight design. Round neck. Sleeveless. Wide straps. No closure.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-knitted-turtleneck-dress_87040284,87040284,Medium knit. Short design. Straight design. Rolled neck. Long sleeves. The model is 1.77 tall and is wearing a size 36. The model is 1.78 tall and is wearing a size 36.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Not Available, Available, Available, Available, Available, Last Few Items, Not Available, Available, Last Few Items, Last Few Items, Last Few Items",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-knitted-turtleneck-dress_87040284?c=05,87040284,Medium knit. Short design. Straight design. Rolled neck. Long sleeves. The model is 1.77 tall and is wearing a size 36. The model is 1.78 tall and is wearing a size 36.,"0, 2, 4, 6, 8, 10, 12","Not Available, Last Few Items, Available, Available, Available, Last Few Items, Not Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-knitted-turtleneck-dress_87040284?c=94,87040284,Medium knit. Short design. Straight design. Rolled neck. Long sleeves. The model is 1.77 tall and is wearing a size 36. The model is 1.78 tall and is wearing a size 36.,"0, 2, 4, 6, 8, 10, 12, 14, 16, 18, 20","Not Available, Available, Available, Available, Available, Last Few Items, Not Available, Available, Last Few Items, Last Few Items, Last Few Items",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-peplum-knitted-dress_87084812,87084812,Fine knit fabric. Peplum design. Short design. Halter neck. Sleeveless. No closure.,"2, 4, 6, 8, 10","Available, Available, Available, Available, Available",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-pinstripe-dress_77095997,77095997,Pinstripe print. Round neck. Sleeveless. Invisible back zip fastening. Button closure at the back. Two welt pockets on the front. Dart detail. The model is 1.81 tall and is wearing a size 37. Short design. A-line design.,"0, 2, 4, 6, 8, 10, 12","Not Available, Available, Available, Available, Available, Not Available, Last Few Items",
https://shop.mango.com/us/en/p/women/dresses-and-jumpsuits/dresses/short-pleated-cotton-dress_17031271,17031271,Short design. Straight design. Low neckline. Sleeveless. Thin Straps. Decorative pleats at front. No closure. Exclusive Online.,"0, 2, 4, 6, 8, 10","Available, Available, Available, Available, Available, Available",
